status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,good_reception,bad_reception,reduce_message,pos_words,neg_words,neu_words
1778884705727302_1881978938751211,Checkout our Instagram: @Athena_Hacks and our Snapchat @AthenaHacks for exclusive previews of our sets of stickers for the event!,Timeline Photos,photo,https://www.facebook.com/AthenaHacks/photos/a.1798800573735715.1073741828.1778884705727302/1881978938751211/?type=3,2017-01-13 22:00:29,14,0,0,11,3,0,0,0,0,8.5,0.0,"['checkout', 'instagram', 'snapchat', 'athenahacks', 'exclusive', 'previews', 'sets', 'stickers', 'event']",0,0,9
1778884705727302_1879992808949824,BIG NEWS! The venue we originally had booked fell through with the university so AthenaHacks will now be held April 8-9! We apologize for any inconvenience and hope to see you there <3,Timeline Photos,photo,https://www.facebook.com/AthenaHacks/photos/a.1798800573735715.1073741828.1778884705727302/1879992808949824/?type=3,2017-01-09 20:33:00,7,2,1,3,4,0,0,0,0,7.0,0.0,"['big', 'news', 'venue', 'booked', 'fell', 'university', 'athenahacks', 'held', 'april', 'apologize', 'inconvenience', 'hope', 'see']",0,2,11
1778884705727302_1879985452283893,,AthenaHacks's cover photo,photo,https://www.facebook.com/AthenaHacks/photos/a.1779029915712781.1073741826.1778884705727302/1879985452283893/?type=3,2017-01-09 20:09:05,2,0,0,2,0,0,0,0,0,1.0,0.0,[],0,0,0
1778884705727302_1879206902361748,"If you're wondering if AthenaHacks is for you ;)

http://athenahacks.com/",Timeline Photos,photo,https://www.facebook.com/AthenaHacks/photos/a.1798800573735715.1073741828.1778884705727302/1879206902361748/?type=3,2017-01-08 22:00:01,15,0,1,11,4,0,0,0,0,11.0,0.0,"['wondering', 'athenahacks', 'http']",0,0,3
1778884705727302_1874596312822807,,Curiosity,video,https://www.facebook.com/curiositydotcom/videos/1491229607571518/,2016-12-30 19:54:57,10,0,0,7,3,0,0,0,0,6.5,0.0,[],0,0,0
1778884705727302_1871392306476541,Queeeens: https://techcrunch.com/gallery/40-female-founders-who-crushed-it-in-2016/,40 female founders who crushed it in 2016,link,https://techcrunch.com/gallery/40-female-founders-who-crushed-it-in-2016/,2016-12-27 16:30:06,6,0,0,6,0,0,0,0,0,3.0,0.0,"['queeeens', 'https']",0,0,2
1778884705727302_1868778453404593,"Happy Holidays from the AthenaHacks team and Aubrie the owl <3 
Enjoy your winter break and don't forget to sign up for updates for Southern California's premier all-female hackathon at http://athenahacks.com/!",Timeline Photos,photo,https://www.facebook.com/AthenaHacks/photos/a.1798800573735715.1073741828.1778884705727302/1868778453404593/?type=3,2016-12-23 22:00:01,16,0,1,12,4,0,0,0,0,11.5,0.0,"['happy', 'holidays', 'athenahacks', 'team', 'aubrie', 'owl', 'enjoy', 'winter', 'break', 'forget', 'sign', 'updates', 'southern', 'california', 'premier', 'hackathon', 'http']",3,1,13
1778884705727302_1868310953451343,"Hey friends! While you're waiting for the AthenaHacks application, check out SBHacks - another great opportunity for learning and building! <3",Timeline Photos,photo,https://www.facebook.com/AthenaHacks/photos/a.1798800573735715.1073741828.1778884705727302/1868310953451343/?type=3,2016-12-22 23:35:29,6,0,0,4,2,0,0,0,0,4.0,0.0,"['hey', 'friends', 'while', 'waiting', 'athenahacks', 'application', 'check', 'sbhacks', 'great', 'opportunity', 'learning', 'building']",1,0,11
1778884705727302_1852233495059089,Happy thanksgiving everyone!! We're grateful for all of your support for women in tech and we can't wait to see you at AthenaHacks! Check out our new website if you haven't yet at AthenaHacks.com :),Athena Hacks,link,http://athenahacks.com/,2016-11-25 00:06:24,9,0,0,5,3,0,1,0,0,5.5,0.0,"['happy', 'thanksgiving', 'everyone', 'grateful', 'support', 'women', 'tech', 'wait', 'see', 'athenahacks', 'check', 'new', 'website']",3,0,10
1778884705727302_1851708248444947,!!!,NowThis Her,video,https://www.facebook.com/NowThisHer/videos/924715677659308/,2016-11-24 00:44:43,5,0,0,1,4,0,0,0,0,4.5,0.0,[],0,0,0
