comment_id,status_id,parent_id,comment_message,comment_published,comment_likes,reduce_message,pos_words,neg_words,neu_words
867034986766794_867087543428205,462848240518806_867035056766787,,"Looking good Daniel,but what are you up to??? 😇😇",2016-10-31 01:33:35,0,ERROR encoding,0,0,14
867034986766794_867288516741441,462848240518806_867035056766787,,"Wait, hacking is a sport now?....",2016-10-31 07:40:38,0,"['wait', 'hacking', 'sport']",0,0,3
859409694195990_859418367528456,462848240518806_859409694195990,,So meta...,2016-10-18 22:06:25,1,['meta'],0,0,1
854270051376621_854911804645779,462848240518806_854270051376621,,Bryan Rene Ayala-Rivera,2016-10-11 18:16:50,1,"['bryan', 'rene']",0,0,2
851969621606664_852060011597625,462848240518806_851969621606664,,The best... Kyle Semelka Jerry Lee Melissa Jiang,2016-10-06 21:05:35,2,"['the', 'best', 'kyle', 'semelka', 'jerry', 'lee', 'melissa', 'jiang']",1,0,7
851969621606664_852060114930948,462848240518806_851969621606664,851969621606664_852060011597625,fucking hell,2016-10-06 21:06:29,0,"['fucking', 'hell']",0,2,0
849199058550387_851056565031303,462848240518806_849199058550387,,Chory Gruta,2016-10-05 00:18:07,0,"['chory', 'gruta']",0,0,2
849199058550387_851056621697964,462848240518806_849199058550387,849199058550387_851056565031303,Brandon Wong An Tran,2016-10-05 00:18:18,0,"['brandon', 'wong', 'an', 'tran']",0,0,4
849199058550387_851056701697956,462848240518806_849199058550387,849199058550387_851056565031303,apps reopenned,2016-10-05 00:18:37,0,"['apps', 'reopenned']",0,0,2
831325317004428_831364677000492,462848240518806_831325317004428,,Jerry Lee,2016-08-29 18:11:54,1,"['jerry', 'lee']",0,0,2
831325317004428_831364770333816,462848240518806_831325317004428,831325317004428_831364677000492,Sign up 😉,2016-08-29 18:12:22,0,['sign'],0,0,1
767368986733395_767447780058849,462848240518806_767368986733395,,looking good Tony Phan xD,2016-04-20 19:50:36,0,"['looking', 'good', 'tony', 'phan', 'xd']",1,0,4
760929694043991_760937367376557,462848240518806_760929694043991,,Can't wait!,2016-04-06 20:20:10,2,"['ca', 'wait']",0,0,2
693094237494204_693124364157858,462848240518806_693094237494204,,Thanks for organizing! We had a blast :),2015-11-09 02:12:15,4,"['thanks', 'organizing', 'we', 'blast']",0,0,4
692469017556726_692474174222877,462848240518806_692469017556726,,"Room #127 Cinnamon Rolls, Hot Cheetos Lime",2015-11-07 02:33:24,0,"['room', 'cinnamon', 'rolls', 'hot', 'cheetos', 'lime']",1,0,5
692469017556726_692474654222829,462848240518806_692469017556726,,Room #135 cheetos please! thank you :),2015-11-07 02:37:46,0,"['room', 'cheetos', 'please', 'thank']",1,0,3
707346099402351_707555899381371,462848240518806_707346099402351,,Aw ❤️,2015-12-21 05:06:04,0,['aw'],0,0,1
691390020997959_691436327659995,462848240518806_691390020997959,,"David Phan, Matthew Lauhakamin, maybe it's not too late!",2015-11-04 00:27:02,1,"['david', 'phan', 'matthew', 'lauhakamin']",0,0,4
687771941359767_687789971357964,462848240518806_687771941359767,,i didnt get mine yet,2015-10-22 16:02:25,0,"['didnt', 'get', 'mine']",0,0,3
687771941359767_687791228024505,462848240518806_687771941359767,687771941359767_687789971357964,"Sultan, we will follow up with you in a private message. Thank you for letting us know!",2015-10-22 16:10:10,0,"['sultan', 'follow', 'private', 'message', 'thank', 'letting', 'us', 'know']",1,0,7
682443361892625_684746224995672,462848240518806_682443361892625,,too late!?,2015-10-13 12:48:52,0,[],0,0,0
682443361892625_684752518328376,462848240518806_682443361892625,,"No not yet, definitely apply Enrique Segura",2015-10-13 13:11:18,0,"['no', 'apply', 'enrique', 'segura']",0,0,4
682443361892625_684755738328054,462848240518806_682443361892625,,done! thanks!,2015-10-13 13:18:21,1,"['done', 'thanks']",0,0,2
670976846372610_672543442882617,462848240518806_670976846372610,,Joseph Tran,2015-09-08 05:34:56,0,"['joseph', 'tran']",0,0,2
662324203904541_662348600568768,462848240518806_662324203904541,,Jenise Tacotaco are you free this weekend? I'm gonna come visit you,2015-08-15 16:30:45,0,"['jenise', 'tacotaco', 'free', 'weekend', 'gon', 'na', 'come', 'visit']",1,0,7
662324203904541_663904177079877,462848240518806_662324203904541,,Faiza Zahid,2015-08-19 21:17:36,0,"['faiza', 'zahid']",0,0,2
662324203904541_663909150412713,462848240518806_662324203904541,,Brandon Lam,2015-08-19 21:36:06,0,"['brandon', 'lam']",0,0,2
658569697613325_658899317580363,462848240518806_658569697613325,,Justin Punzalan,2015-08-08 12:47:26,1,"['justin', 'punzalan']",0,0,2
657257421077886_657264691077159,462848240518806_657257421077886,,oculus rift FTW,2015-08-04 20:23:09,1,"['oculus', 'rift', 'ftw']",1,1,1
657257421077886_657551834381778,462848240518806_657257421077886,,"http://udoo.org/ 

I'd like to see that ^",2015-08-05 11:25:04,0,"['http', 'like', 'see']",1,0,2
628904600579835_628904743913154,462848240518806_628904600579835,,http://www.slashfilm.com/playmation/ [[SHARE]],2015-06-02 23:50:36,0,"['http', 'share']",0,0,2
556569657813330_556668791136750,462848240518806_556569657813330,,Heck yes,2015-01-05 00:50:17,1,"['heck', 'yes']",0,1,1
