status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,good_reception,bad_reception,reduce_message
153080620724_10158477941935725,6 DAYS! #MAGA,Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10158477941935725/?type=3,2017-01-14 20:04:33,124847,6173,11857,108425,13767,311,617,396,1335,86076.0,3264.0,"['DAYS', 'MAGA']"
153080620724_10158475409365725,Vice President-Elect Pence is great!,Mike Pence goes on an ice cream run at his local Safeway,link,https://www.washingtonpost.com/news/reliable-source/wp/2017/01/13/mike-pence-goes-on-an-ice-cream-run-at-his-local-safeway/?utm_term=.d52f43f0d614,2017-01-14 13:08:29,66434,4657,2378,59272,5026,135,1805,35,161,38364.0,374.5,"['Vice', 'Pence', 'great']"
153080620724_10158472367585725,"Good morning America! Thank you for all of your support. Both my family and I are grateful. In just six days -- together, we will all MAKE AMERICA SAFE AND GREAT AGAIN!",Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10158472367585725/?type=3,2017-01-14 08:30:28,177324,13674,9245,156807,18381,221,1188,172,556,110873.0,1370.0,"['Good', 'morning', 'America', 'Thank', 'support', 'Both', 'family', 'grateful', 'In', 'days', 'MAKE', 'AMERICA', 'SAFE', 'AND', 'GREAT', 'AGAIN']"
153080620724_10158472389055725,Thank you Steve! Lets #MAGA!,,video,https://www.facebook.com/DonaldTrump/videos/10158472389055725/,2017-01-13 23:19:03,76397,4779,8874,69509,5697,201,773,44,175,53963.5,416.0,"['Thank', 'Steve', 'Lets', 'MAGA']"
153080620724_10158470948640725,"'Lockheed Martin CEO meets Trump, says deal to lower F-35 costs is close'","Lockheed Martin CEO: Close to deal to lower F-35 costs, add 1,800 jobs",link,http://mobile.reuters.com/article/idUSKBN14X25E,2017-01-13 18:30:16,82918,4118,10175,76482,5053,967,318,13,86,59523.5,191.5,"['Martin', 'CEO', 'meets', 'Trump', 'says', 'deal', 'lower', 'costs']"
153080620724_10158469509530725,7 DAYS! #MAGA,Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10158469509530725/?type=3,2017-01-13 14:30:06,234688,12316,23863,203123,26445,626,1159,830,2506,164427.0,6257.0,"['DAYS', 'MAGA']"
153080620724_10158468750780725,"A beautiful funeral today for a real NYC hero, Detective Steven McDonald. Our law enforcement community has my complete and total support.",,status,,2017-01-13 12:51:32,124929,3805,5484,108881,8102,74,115,7676,81,70842.5,11676.0,"['beautiful', 'funeral', 'today', 'real', 'NYC', 'hero', 'Detective', 'Steven', 'McDonald', 'Our', 'law', 'enforcement', 'community', 'complete', 'total', 'support']"
153080620724_10158467262865725,What are Hillary Clinton's people complaining about with respect to the F.B.I. Based on the information they had she should never have been allowed to run - guilty as hell. They were VERY nice to her. She lost because she campaigned in the wrong states - no enthusiasm!,,status,,2017-01-13 11:19:40,118767,12657,6530,107185,5889,231,4900,65,497,69507.5,1091.5,"['What', 'Hillary', 'Clinton', 'people', 'complaining', 'respect', 'Based', 'information', 'allowed', 'run', 'guilty', 'hell', 'They', 'VERY', 'nice', 'She', 'lost', 'campaigned', 'wrong', 'states', 'enthusiasm']"
153080620724_10158466789715725,"The ""Unaffordable"" Care Act will soon be history!",,status,,2017-01-13 09:24:49,440873,24325,29706,386265,43887,789,7172,612,2148,282367.5,5214.0,"['The', 'Unaffordable', 'Care', 'Act', 'history']"
153080620724_10158464582995725,8 DAYS! #MAGA,Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10158464582995725/?type=3,2017-01-12 22:46:55,232329,12570,18600,200007,27093,635,1165,803,2626,155631.5,6456.5,"['DAYS', 'MAGA']"
153080620724_10158463778510725,'Top aides to Donald Trump asked House Republicans Thursday to include provisions to make child care more affordable',Trump aides to Hill GOP: Make child care more affordable,link,http://www.politico.com/story/2017/01/trump-republicans-childcare-affordable-233565,2017-01-12 19:31:50,37759,2780,3229,34741,2647,93,191,9,78,24954.0,169.5,"['aides', 'Donald', 'Trump', 'asked', 'House', 'Republicans', 'Thursday', 'include', 'provisions', 'make', 'child', 'care', 'affordable']"
153080620724_10158463140510725,"President-Elect Trump Announces Former Mayor Rudolph Giuliani to Lend Expertise to Cyber Security Efforts

(New York, NY) — President-elect Trump is very pleased to announce former Mayor Rudy Giuliani will be sharing his expertise and insight as a trusted friend concerning private sector cyber security problems and emerging solutions developing in the private sector. This is a rapidly evolving field both as to intrusions and solutions and it is critically important to get timely information from all sources.

In addition, from time to time because of the changing nature of this problem, it is contemplated that the President-elect will be hosting a series of meetings with senior corporate executives from companies which have faced or are facing challenges similar to those facing the government and public entities today, such as hacking, intrusions, disruptions, manipulations, theft of data and identities, and securing information technology infrastructure.

The President-elect's intent is to obtain experiential and anecdotal information from each executive on challenges faced by his/her company, how the company met the challenges, approaches which were productive or successful, and those which were not. The attendees may or may not change from session to session, but the specific agenda subjects will likely change because of the rapidly evolving field of cyber security, and frequent developments, both positive and negative. No consensus advice or recommendations resulting from group deliberations or interaction is expected or will be solicited.

Cyber intrusion is the fastest growing crime in the United States and much of the world. Its impact is felt from the individual citizen whose identity is stolen to the large private and government entities that have seen their confidential information seriously compromised. It is also a major threat to our national security.

As the use of modern communications and technology has moved forward at unparalleled speed the necessary defenses have lagged behind. The President-elect recognizes that this needs immediate attention and input from private sector leaders to help the government plan to make us more secure.
Mr. Giuliani was asked to initiate this process because of his long and very successful government career in law enforcement and his now sixteen years of work providing security solutions in the private sector.

Mr. Giuliani is the chairman of the global cyber security practice at Greenberg Traurig and the Chairman and CEO of Giuliani Partners, an international security consulting firm.",Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10158463140510725/?type=3,2017-01-12 17:38:58,79343,4841,4644,71379,6858,194,674,32,206,49707.5,460.0,"['Trump', 'Announces', 'Former', 'Mayor', 'Rudolph', 'Giuliani', 'Lend', 'Expertise', 'Cyber', 'Security', 'Efforts', 'New', 'York', 'NY', 'Trump', 'pleased', 'announce', 'former', 'Mayor', 'Rudy', 'Giuliani', 'sharing', 'expertise', 'insight', 'trusted', 'friend', 'concerning', 'private', 'sector', 'cyber', 'security', 'problems', 'emerging', 'solutions', 'developing', 'private', 'sector', 'This', 'evolving', 'field', 'intrusions', 'solutions', 'important', 'get', 'timely', 'information', 'sources', 'In', 'addition', 'time', 'time', 'changing', 'nature', 'problem', 'contemplated', 'hosting', 'series', 'meetings', 'senior', 'corporate', 'executives', 'companies', 'faced', 'facing', 'challenges', 'similar', 'facing', 'government', 'public', 'entities', 'today', 'hacking', 'intrusions', 'disruptions', 'manipulations', 'theft', 'data', 'identities', 'securing', 'information', 'technology', 'infrastructure', 'The', 'intent', 'obtain', 'experiential', 'anecdotal', 'information', 'executive', 'challenges', 'faced', 'company', 'company', 'met', 'challenges', 'approaches', 'productive', 'successful', 'The', 'attendees', 'may', 'may', 'change', 'session', 'session', 'specific', 'agenda', 'subjects', 'likely', 'change', 'evolving', 'field', 'cyber', 'security', 'frequent', 'developments', 'positive', 'negative', 'No', 'consensus', 'advice', 'recommendations', 'resulting', 'group', 'deliberations', 'interaction', 'expected', 'solicited', 'Cyber', 'intrusion', 'fastest', 'growing', 'crime', 'United', 'States', 'much', 'world', 'Its', 'impact', 'felt', 'individual', 'citizen', 'whose', 'identity', 'stolen', 'large', 'private', 'government', 'entities', 'seen', 'confidential', 'information', 'compromised', 'It', 'major', 'threat', 'national', 'security', 'As', 'use', 'modern', 'communications', 'technology', 'moved', 'unparalleled', 'speed', 'necessary', 'defenses', 'lagged', 'behind', 'The', 'recognizes', 'needs', 'immediate', 'attention', 'input', 'private', 'sector', 'leaders', 'help', 'government', 'plan', 'make', 'us', 'secure', 'Giuliani', 'asked', 'initiate', 'process', 'successful', 'government', 'career', 'law', 'enforcement', 'sixteen', 'years', 'work', 'providing', 'security', 'solutions', 'private', 'sector', 'Giuliani', 'chairman', 'global', 'cyber', 'security', 'practice', 'Greenberg', 'Traurig', 'Chairman', 'CEO', 'Giuliani', 'Partners', 'international', 'security', 'consulting', 'firm']"
153080620724_10158462865880725,"'Trump's plans could double US GDP growth by 2018, Deutsche Bank says'","Trump's plans could double US GDP growth by 2018, Deutsche Bank says",link,http://www.cnbc.com/2017/01/09/donald-trump-plans-will-double-gdp-growth-by-2018-deutsche-bank-says.html,2017-01-12 17:02:14,65660,3577,11699,58232,5559,1302,429,17,121,53525.5,267.5,"['plans', 'could', 'double', 'US', 'GDP', 'growth', 'Deutsche', 'Bank', 'says']"
153080620724_10158461934305725,Congrats to the Senate for taking the first step to #RepealObamacare- now it's onto the House!,Daniel Scavino Jr.,video,https://www.facebook.com/DanScavino/videos/1837421656473562/,2017-01-12 13:36:10,62868,4367,8,55198,6192,158,201,94,1025,33961.0,2191.0,"['Congrats', 'Senate', 'taking', 'first', 'step', 'onto', 'House']"
153080620724_10158460558730725,"James Clapper called me yesterday to denounce the false and fictitious report that was illegally circulated. Made up, phony facts.Too bad!",,status,,2017-01-12 09:29:04,48765,6924,3634,44068,2370,289,1570,112,356,30144.0,880.0,"['James', 'Clapper', 'called', 'yesterday', 'denounce', 'fictitious', 'report', 'circulated', 'Made', 'phony', 'bad']"
153080620724_10158457447670725,We had a great News Conference at Trump Tower today. A couple of FAKE NEWS organizations were there but the people truly get what's going on.,,status,,2017-01-11 23:30:15,197147,18484,8356,173621,12756,316,9728,119,607,112416.5,1392.5,"['We', 'great', 'News', 'Conference', 'Trump', 'Tower', 'today', 'couple', 'FAKE', 'NEWS', 'organizations', 'people', 'get', 'going']"
153080620724_10158456821310725,There should be no further releases from Gitmo. These are extremely dangerous people and should not be allowed back onto the battlefield.,,status,,2017-01-11 20:52:40,158269,9174,7394,149383,7403,194,697,59,533,93379.5,1154.5,"['There', 'releases', 'Gitmo', 'These', 'dangerous', 'people', 'allowed', 'onto', 'battlefield']"
153080620724_10158454078660725,Thank you Ivanka! I am so proud of you - keep up the GREAT WORK!!,Ivanka Trump,link,https://www.facebook.com/IvankaTrump/posts/10154998180397682,2017-01-11 16:28:04,155061,7341,9,137059,16497,272,939,59,235,85312.0,558.5,"['Thank', 'Ivanka', 'proud', 'keep', 'GREAT', 'WORK']"
