status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,good_reception,bad_reception,reduce_message,pos_words,neg_words,neu_words
740322575985777_1495134630504564,The projects of the future...,,video,https://www.facebook.com/hackUCIrvine/videos/1495134630504564/,2017-01-15 15:43:00,4,0,0,4,0,0,0,0,0,2.0,0.0,"['projects', 'future']",0,0,2
740322575985777_1495043470513680,Devpost submissions are due in 15 minutes!!! #HackUCI2017,Timeline Photos,photo,https://www.facebook.com/hackUCIrvine/photos/a.747556448595723.1073741828.740322575985777/1495043470513680/?type=3,2017-01-15 13:44:56,0,0,0,0,0,0,0,0,0,0.0,0.0,"['devpost', 'submissions', 'due', 'minutes']",0,0,4
740322575985777_1494065743944786,Plenty of snacks for your consumption... #snacktimelapse #HackUCI2017,,video,https://www.facebook.com/hackUCIrvine/videos/1494065743944786/,2017-01-14 17:26:33,3,0,0,3,0,0,0,0,0,1.5,0.0,"['plenty', 'snacks', 'consumption', 'snacktimelapse']",0,0,4
740322575985777_1493885353962825,We got more edible stuff on the way... #costcobulkloaders #HackUCI2017,Timeline Photos,photo,https://www.facebook.com/hackUCIrvine/photos/a.747556448595723.1073741828.740322575985777/1493885353962825/?type=3,2017-01-14 13:51:38,5,0,0,4,0,1,0,0,0,3.0,0.0,"['got', 'edible', 'stuff', 'way', 'costcobulkloaders']",0,0,5
740322575985777_1493800820637945,Make sure to pick up your Google and other dope swag from the table at the front! #shwagtime #HackUCI2017,Timeline Photos,photo,https://www.facebook.com/hackUCIrvine/photos/a.747556448595723.1073741828.740322575985777/1493800820637945/?type=3,2017-01-14 12:21:50,3,0,0,3,0,0,0,0,0,1.5,0.0,"['make', 'sure', 'pick', 'google', 'dope', 'swag', 'table', 'front', 'shwagtime']",0,1,8
740322575985777_1493763227308371,"Breakfast is here! We got plenty of stuff, so please make your way and feast! #HackUCI2017",Photos from HackUCI's post,photo,https://www.facebook.com/hackUCIrvine/photos/a.1091277447556953.1073741832.740322575985777/1493763137308380/?type=3,2017-01-14 11:46:27,3,0,0,3,0,0,0,0,0,1.5,0.0,"['breakfast', 'got', 'plenty', 'stuff', 'please', 'make', 'way', 'feast']",0,0,8
740322575985777_1493432550674772,Cup stacking final winners... #HackUCI2017,Photos from HackUCI's post,photo,https://www.facebook.com/hackUCIrvine/photos/a.1091277447556953.1073741832.740322575985777/1493432034008157/?type=3,2017-01-14 05:37:02,6,0,0,5,1,0,0,0,0,3.5,0.0,"['cup', 'stacking', 'final', 'winners']",1,0,3
740322575985777_1493417687342925,Cup stacking final... #HackUCI2017,,video,https://www.facebook.com/hackUCIrvine/videos/1493417687342925/,2017-01-14 05:19:38,8,0,0,8,0,0,0,0,0,4.0,0.0,"['cup', 'stacking', 'final']",0,0,3
740322575985777_1493353540682673,Plenty of action here at 1 AM!!! #HackUCI2017,Timeline Photos,photo,https://www.facebook.com/hackUCIrvine/photos/a.747556448595723.1073741828.740322575985777/1493353540682673/?type=3,2017-01-14 03:58:25,16,0,2,16,0,0,0,0,0,11.0,0.0,"['plenty', 'action']",0,0,2
740322575985777_1493303594021001,You know how it goes down when there's boba! #HackUCI2017,Timeline Photos,photo,https://www.facebook.com/hackUCIrvine/photos/a.747556448595723.1073741828.740322575985777/1493303594021001/?type=3,2017-01-14 02:43:39,11,1,0,10,1,0,0,0,0,6.0,0.0,"['you', 'know', 'goes', 'boba']",0,0,4
