status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,good_reception,bad_reception,reduce_message,pos_words,neg_words,neu_words
52293590957_10151816232850958,"Thanks again to everyone who made it out to the last show and to all those who were a part of POK over the years. 

We never got this mixed properly, but here's the cleanest version of Modernity we had. We always had a great time playing this one live.

http://pileofkittens.com/music/POK-Modernity.mp3",,status,,2013-11-18 03:01:50,3,0,1,3,0,0,0,0,0,3.0,0.0,"['thanks', 'everyone', 'made', 'last', 'show', 'part', 'pok', 'years', 'got', 'mixed', 'cleanest', 'version', 'modernity', 'great', 'time', 'playing', 'live', 'http']",2,0,16
52293590957_10151812478710958,"As we play our final show tonight, we'll be reflecting on all the times we've played together. We get to spend tonight with you, our fans, who have come out to support us whenever you could. For that, we are grateful and appreciative.",,status,,2013-11-16 10:43:57,3,1,0,3,0,0,0,0,0,1.5,0.0,"['play', 'final', 'show', 'tonight', 'reflecting', 'times', 'played', 'get', 'spend', 'tonight', 'fans', 'come', 'support', 'whenever', 'could', 'for', 'grateful', 'appreciative']",4,0,14
52293590957_450651265053652,"Yes, it's true -- Pile of Kittens will be playing our *LAST* NY show at Desmond's Tavern in Midtown this November. Make it a night to remember and come see us off in style.  

21+, cover is $10 at the door, so come on out and support the Pile! We need YOU! (and a bunch of other people)

<3 =^.^=

***Note***
Our timeslot has changed.  We now go on at 10pm!

Current Lineup:

8pm - Side B
9pm - Stretch Cunningham
10pm - Pile of Kittens",This Kitten's Cooked -- our final show!,event,https://www.facebook.com/events/450651265053652/,2013-10-16 14:36:14,1,0,0,1,0,0,0,0,0,0.5,0.0,"['yes', 'true', 'pile', 'kittens', 'playing', 'show', 'desmond', 'tavern', 'midtown', 'november', 'make', 'night', 'remember', 'come', 'see', 'style', 'cover', 'door', 'come', 'support', 'pile', 'need', 'you', 'bunch', 'people', 'our', 'timeslot', 'changed', 'current', 'lineup', 'side', 'stretch', 'cunningham', 'pile', 'kittens']",1,0,34
52293590957_10151730388000958,"Oooooh, boy. Keep your cute little eyes peeled and your ears perked, kittens. We may have some good news for you soon.
=^.^=",,status,,2013-10-09 17:46:12,6,1,1,6,0,0,0,0,0,4.5,0.0,"['oooooh', 'boy', 'keep', 'cute', 'little', 'eyes', 'peeled', 'ears', 'perked', 'kittens', 'may', 'good', 'news']",2,1,10
52293590957_10151667439690958,"This is brilliant...
http://www.nme.com/blogs/the-big-picture/28-kittens-on-album-covers",NME Blogs | 28 Kittens On Album Covers,link,http://www.nme.com/blogs/the-big-picture/28-kittens-on-album-covers,2013-09-05 22:01:40,2,0,0,2,0,0,0,0,0,1.0,0.0,"['brilliant', 'http']",1,0,1
52293590957_10151542027350958,Sad to announce the departure of our bass player Zach. He'll be playing with us until he moves to Michigan later this month. He will be missed and will forever be a Kitten!,,status,,2013-07-01 08:40:50,1,1,1,1,0,0,0,0,0,2.0,0.0,"['sad', 'announce', 'departure', 'bass', 'player', 'zach', 'playing', 'moves', 'michigan', 'month', 'missed', 'kitten']",0,2,10
52293590957_10151396355655958,Possible gig in CT coming up. Keep it here for more info.,,status,,2013-04-02 12:58:08,3,1,0,3,0,0,0,0,0,1.5,0.0,"['possible', 'gig', 'coming', 'keep', 'info']",0,0,5
52293590957_10151395919660958,Back in the studio tonight. Can't wait to crank out the tunes!,,status,,2013-04-02 06:41:49,5,0,0,5,0,0,0,0,0,2.5,0.0,"['studio', 'tonight', 'wait', 'crank', 'tunes']",0,0,5
52293590957_10151391009485958,Back in the studio next week. It's been way too long...,,status,,2013-03-30 09:15:52,2,0,1,2,0,0,0,0,0,2.5,0.0,"['studio', 'next', 'week', 'way']",0,0,4
52293590957_10151385140925958,Should be back in the studio rehearsing some new and old stuff soon. Seems like my wrist can handle drumming again. - Tracey,,status,,2013-03-26 09:47:55,2,0,0,2,0,0,0,0,0,1.0,0.0,"['should', 'back', 'studio', 'rehearsing', 'new', 'old', 'stuff', 'seems', 'like', 'wrist', 'handle', 'drumming', 'tracey']",1,0,12
